user,keycode,event,time
Artem,66,Down,1649266800.4609427
Artem,66,Up,1649266800.5686612
Artem,76,Down,1649266801.241566
Artem,76,Up,1649266801.318786
Artem,84,Down,1649266801.4289467
Artem,84,Up,1649266801.5061612
Artem,81,Down,1649266801.8669324
Artem,81,Up,1649266801.9599164
Artem,89,Down,1649266802.038026
Artem,89,Up,1649266802.1319263
Artem,83,Down,1649266802.1789527
Artem,83,Up,1649266802.273898
Artem,84,Down,1649266802.4453645
Artem,84,Up,1649266802.5218382
Artem,32,Down,1649266802.58794
Artem,32,Up,1649266802.7109306
Artem,67,Down,1649266802.788589
Artem,67,Up,1649266802.8829474
Artem,74,Down,1649266802.9751153
Artem,74,Up,1649266803.0559814
Artem,74,Down,1649266803.1625047
Artem,74,Up,1649266803.210049
Artem,188,Down,1649266803.3665879
Artem,188,Up,1649266803.4470894
Artem,72,Down,1649266803.6020982
Artem,72,Up,1649266803.6803293
Artem,70,Down,1649266803.7572947
Artem,70,Up,1649266803.8188088
Artem,186,Down,1649266804.1009762
Artem,186,Up,1649266804.1640115
Artem,84,Down,1649266804.2571442
Artem,84,Up,1649266804.3356729
Artem,89,Down,1649266804.4129195
Artem,89,Up,1649266804.5238924
Artem,66,Down,1649266804.5709283
Artem,66,Up,1649266804.6478367
Artem,90,Down,1649266805.0379345
Artem,90,Up,1649266805.1342518
Artem,32,Down,1649266805.287935
Artem,32,Up,1649266805.3849134
Artem,68,Down,1649266805.584874
Artem,68,Up,1649266805.6809857
Artem,83,Down,1649266805.7101223
Artem,83,Up,1649266805.7879283
Artem,67,Down,1649266805.8979652
Artem,67,Up,1649266805.9750297
Artem,73,Down,1649266806.3507547
Artem,73,Up,1649266806.4289305
Artem,84,Down,1649266806.5240297
Artem,84,Up,1649266806.5871854
Artem,85,Down,1649266806.6331902
Artem,85,Up,1649266806.7110486
Artem,74,Down,1649266806.8199701
Artem,74,Up,1649266806.8969657
Artem,32,Down,1649266807.0239131
Artem,32,Up,1649266807.133906
Artem,71,Down,1649266807.5877507
Artem,71,Up,1649266807.6626477
Artem,74,Down,1649266807.6816745
Artem,74,Up,1649266807.789024
Artem,72,Down,1649266807.8349605
Artem,72,Up,1649266807.9151676
Artem,90,Down,1649266807.9763098
Artem,90,Up,1649266808.0692255
Artem,76,Down,1649266808.3035758
Artem,76,Up,1649266808.3840628
Artem,82,Down,1649266808.4630697
Artem,82,Up,1649266808.5390337
Artem,70,Down,1649266808.6490753
Artem,70,Up,1649266808.725195
Artem,191,Down,1649266809.1472678
