user,keycode,event,time
Nikita,66,Down,1649688408.4729366
Nikita,66,Up,1649688408.5542598
Nikita,76,Down,1649688409.062491
Nikita,84,Down,1649688409.1496468
Nikita,76,Up,1649688409.1586478
Nikita,84,Up,1649688409.2743235
Nikita,81,Down,1649688409.3103578
Nikita,81,Up,1649688409.4201727
Nikita,89,Down,1649688410.7169883
Nikita,89,Up,1649688410.8084
Nikita,83,Down,1649688410.8381288
Nikita,83,Up,1649688410.934893
Nikita,84,Down,1649688411.201215
Nikita,84,Up,1649688411.300821
Nikita,32,Down,1649688411.7359176
Nikita,32,Up,1649688411.8351948
Nikita,67,Down,1649688412.0142434
Nikita,67,Up,1649688412.1040475
Nikita,74,Down,1649688412.3604457
Nikita,74,Up,1649688412.442566
Nikita,74,Down,1649688412.5075922
Nikita,188,Down,1649688412.6074605
Nikita,74,Up,1649688412.6485999
Nikita,188,Up,1649688412.7094905
Nikita,72,Down,1649688412.805168
Nikita,72,Up,1649688412.8865707
Nikita,70,Down,1649688412.9012027
Nikita,70,Up,1649688412.99409
Nikita,186,Down,1649688413.1874678
Nikita,186,Up,1649688413.2832296
Nikita,84,Down,1649688413.3981366
Nikita,84,Up,1649688413.4954562
Nikita,89,Down,1649688413.583353
Nikita,66,Down,1649688413.6532583
Nikita,89,Up,1649688413.7588935
Nikita,66,Up,1649688413.8349066
Nikita,90,Down,1649688413.9506488
Nikita,32,Down,1649688414.0482414
Nikita,90,Up,1649688414.06824
Nikita,32,Up,1649688414.1854956
Nikita,68,Down,1649688414.3921635
Nikita,83,Down,1649688414.5737286
Nikita,68,Up,1649688414.6089585
Nikita,83,Up,1649688414.722612
Nikita,67,Down,1649688414.8457885
Nikita,67,Up,1649688414.952766
Nikita,73,Down,1649688415.2155373
Nikita,73,Up,1649688415.3099446
Nikita,84,Down,1649688415.4060917
Nikita,84,Up,1649688415.496698
Nikita,85,Down,1649688415.5576627
Nikita,85,Up,1649688415.643321
Nikita,74,Down,1649688415.7279055
Nikita,32,Down,1649688415.7717648
Nikita,74,Up,1649688415.8347394
Nikita,32,Up,1649688415.9061813
Nikita,71,Down,1649688415.9132278
Nikita,71,Up,1649688416.0088983
Nikita,74,Down,1649688416.0450768
Nikita,74,Up,1649688416.1319225
Nikita,72,Down,1649688416.2009723
Nikita,72,Up,1649688416.2878966
Nikita,90,Down,1649688416.334404
Nikita,90,Up,1649688416.4536157
Nikita,76,Down,1649688416.581629
Nikita,76,Up,1649688416.6792207
Nikita,82,Down,1649688416.7805302
Nikita,82,Up,1649688416.91111
Nikita,70,Down,1649688417.1709194
Nikita,70,Up,1649688417.2828085
Nikita,191,Down,1649688418.0159976
Nikita,191,Up,1649688418.1218429
Nikita,32,Down,1649688418.1308692
Nikita,32,Up,1649688418.2670825
Nikita,70,Down,1649688418.3356698
Nikita,70,Up,1649688418.4600325
Nikita,32,Down,1649688418.5218825
Nikita,32,Up,1649688418.6381824
Nikita,78,Down,1649688418.7029092
Nikita,78,Up,1649688418.7972314
Nikita,70,Down,1649688418.814659
Nikita,70,Up,1649688418.9355237
Nikita,82,Down,1649688419.0417805
Nikita,82,Up,1649688419.1359894
Nikita,186,Down,1649688419.2379324
Nikita,186,Up,1649688419.3657956
Nikita,84,Down,1649688419.503021
Nikita,84,Up,1649688419.624327
Nikita,32,Down,1649688419.666961
Nikita,32,Up,1649688419.8108118
Nikita,89,Down,1649688420.1878085
Nikita,70,Down,1649688420.2679179
Nikita,89,Up,1649688420.270909
Nikita,70,Up,1649688420.3640366
Nikita,88,Down,1649688420.496573
Nikita,88,Up,1649688420.635958
Nikita,70,Down,1649688420.7068899
Nikita,70,Up,1649688420.8047962
Nikita,75,Down,1649688420.8436394
Nikita,74,Down,1649688420.903564
Nikita,32,Down,1649688420.9821403
Nikita,75,Up,1649688421.0128806
Nikita,74,Up,1649688421.0682402
Nikita,71,Down,1649688421.0928414
Nikita,32,Up,1649688421.1191497
Nikita,71,Up,1649688421.1899703
Nikita,74,Down,1649688421.2410557
Nikita,74,Up,1649688421.3463597
Nikita,68,Down,1649688421.4079492
Nikita,68,Up,1649688421.494327
Nikita,67,Down,1649688421.6198523
Nikita,67,Up,1649688421.7127914
Nikita,84,Down,1649688421.8329024
Nikita,84,Up,1649688421.911391
Nikita,76,Down,1649688421.9407334
Nikita,76,Up,1649688422.0318108
Nikita,89,Down,1649688422.166104
Nikita,84,Down,1649688422.19831
Nikita,89,Up,1649688422.2438774
Nikita,84,Up,1649688422.299929
Nikita,68,Down,1649688422.445663
Nikita,68,Up,1649688422.5650373
Nikita,89,Down,1649688422.6579328
Nikita,74,Down,1649688422.7248843
Nikita,89,Up,1649688422.7894342
Nikita,74,Up,1649688422.8670537
Nikita,81,Down,1649688423.0049608
Nikita,81,Up,1649688423.121957
Nikita,32,Down,1649688423.2191625
Nikita,32,Up,1649688423.3429089
Nikita,72,Down,1649688423.425212
Nikita,72,Up,1649688423.5233982
Nikita,70,Down,1649688423.5901282
Nikita,70,Up,1649688423.6898434
