user,keycode,event,time
nevova,66,Down,1649331972.5779479
nevova,66,Up,1649331972.685632
nevova,76,Down,1649331974.0034575
nevova,76,Up,1649331974.0916953
nevova,84,Down,1649331974.3155022
nevova,84,Up,1649331974.4195106
nevova,81,Down,1649331974.4275146
nevova,81,Up,1649331974.5155141
nevova,89,Down,1649331974.5530157
nevova,89,Up,1649331974.656014
nevova,83,Down,1649331974.7038522
nevova,83,Up,1649331974.8002121
nevova,84,Down,1649331974.8638666
nevova,84,Up,1649331974.9601061
nevova,32,Down,1649331974.9998674
nevova,32,Up,1649331975.1198912
nevova,67,Down,1649331976.1385355
nevova,67,Up,1649331976.2343087
nevova,74,Down,1649331976.2957041
nevova,74,Up,1649331976.391711
nevova,74,Down,1649331976.4157133
nevova,74,Up,1649331976.5197427
nevova,188,Down,1649331976.6557338
nevova,188,Up,1649331976.7597618
nevova,72,Down,1649331977.0911028
nevova,72,Up,1649331977.1737187
nevova,70,Down,1649331977.2057178
nevova,70,Up,1649331977.3207848
nevova,186,Down,1649331977.5066166
nevova,186,Up,1649331977.6103845
nevova,84,Down,1649331977.70639
nevova,89,Down,1649331977.8184028
nevova,84,Up,1649331977.826404
nevova,89,Up,1649331977.9304323
nevova,66,Down,1649331978.0424223
nevova,66,Up,1649331978.1464314
nevova,90,Down,1649331978.2661638
nevova,32,Down,1649331978.4101744
nevova,90,Up,1649331978.4421768
nevova,32,Up,1649331978.5221627
nevova,68,Down,1649331979.0289204
nevova,70,Down,1649331979.132947
nevova,68,Up,1649331979.1409502
nevova,70,Up,1649331979.2369392
nevova,73,Down,1649331979.5243125
nevova,73,Up,1649331979.6205409
nevova,84,Down,1649331979.6763232
nevova,85,Down,1649331979.7603853
nevova,84,Up,1649331979.7683868
nevova,85,Up,1649331979.8563952
nevova,74,Down,1649331979.9284072
nevova,74,Up,1649331980.0164297
nevova,32,Down,1649331980.1206574
nevova,32,Up,1649331980.219493
nevova,71,Down,1649331980.2354949
nevova,71,Up,1649331980.3235164
nevova,72,Down,1649331980.395524
nevova,74,Down,1649331980.4683292
nevova,72,Up,1649331980.5510387
nevova,74,Up,1649331980.6230652
nevova,8,Down,1649331980.919094
nevova,8,Up,1649331980.9910967
nevova,8,Down,1649331981.0551007
nevova,8,Up,1649331981.167399
nevova,74,Down,1649331981.4231136
nevova,72,Down,1649331981.5223174
nevova,74,Up,1649331981.5303247
nevova,72,Up,1649331981.650321
nevova,90,Down,1649331982.2173247
nevova,90,Up,1649331982.337333
nevova,76,Down,1649331982.4973295
nevova,76,Up,1649331982.578295
nevova,82,Down,1649331982.7303252
nevova,70,Down,1649331982.794312
nevova,82,Up,1649331982.925659
nevova,70,Up,1649331982.9895818
nevova,191,Down,1649331984.379781
nevova,191,Up,1649331984.467787
nevova,32,Down,1649331984.5397935
nevova,32,Up,1649331984.6520724
nevova,70,Down,1649331984.715792
nevova,32,Down,1649331984.8278053
nevova,70,Up,1649331984.835824
nevova,32,Up,1649331984.923837
nevova,78,Down,1649331985.0680668
nevova,78,Up,1649331985.1718373
nevova,70,Down,1649331985.2081668
nevova,82,Down,1649331985.2881682
nevova,70,Up,1649331985.3624468
nevova,82,Up,1649331985.4506748
nevova,76,Down,1649331985.6700754
nevova,76,Up,1649331985.7500827
nevova,84,Down,1649331985.8380728
nevova,84,Up,1649331985.9903197
nevova,8,Down,1649331986.3023262
nevova,8,Up,1649331986.3743536
nevova,8,Down,1649331986.4305818
nevova,8,Up,1649331986.502363
nevova,186,Down,1649331986.970061
nevova,84,Down,1649331987.0502896
nevova,186,Up,1649331987.066049
nevova,84,Up,1649331987.1700764
nevova,32,Down,1649331987.2100601
nevova,32,Up,1649331987.3140724
nevova,89,Down,1649331987.9450748
nevova,89,Up,1649331988.0410666
nevova,70,Down,1649331988.0490875
nevova,70,Up,1649331988.1370938
nevova,88,Down,1649331988.3075635
nevova,88,Up,1649331988.44343
nevova,70,Down,1649331988.7552114
nevova,70,Up,1649331988.875463
nevova,75,Down,1649331989.0032375
nevova,75,Up,1649331989.083261
nevova,74,Down,1649331989.159622
nevova,74,Up,1649331989.247644
nevova,32,Down,1649331989.3996565
nevova,32,Up,1649331989.5082695
nevova,70,Down,1649331989.7324789
nevova,70,Up,1649331989.876491
nevova,8,Down,1649331990.2722607
nevova,8,Up,1649331990.4082747
nevova,71,Down,1649331990.4722795
nevova,71,Up,1649331990.5922713
nevova,74,Down,1649331990.656569
nevova,74,Up,1649331990.7603066
nevova,68,Down,1649331990.9122984
nevova,68,Up,1649331991.0434387
nevova,67,Down,1649331991.1794767
nevova,67,Up,1649331991.307482
nevova,84,Down,1649331991.4517162
nevova,84,Up,1649331991.5634868
nevova,76,Down,1649331991.5794895
nevova,76,Up,1649331991.683742
nevova,89,Down,1649331991.8598733
nevova,89,Up,1649331991.963525
nevova,84,Down,1649331991.9955425
nevova,84,Up,1649331992.1075516
nevova,68,Down,1649331992.155559
nevova,89,Down,1649331992.2677932
nevova,68,Up,1649331992.2755487
nevova,89,Up,1649331992.3635561
nevova,74,Down,1649331992.4783657
nevova,74,Up,1649331992.5875607
nevova,81,Down,1649331992.7395928
nevova,81,Up,1649331992.849792
nevova,32,Down,1649331992.8706224
nevova,32,Up,1649331992.974607
nevova,72,Down,1649331993.0786002
nevova,72,Up,1649331993.1666253
nevova,70,Down,1649331993.1826267
nevova,70,Up,1649331993.2946255
nevova,188,Down,1649331993.3986437
nevova,188,Up,1649331993.5186396
nevova,74,Down,1649331993.634584
nevova,74,Up,1649331993.7145894
nevova,78,Down,1649331993.7899652
nevova,78,Up,1649331993.8862157
nevova,83,Down,1649331993.9659827
nevova,83,Up,1649331994.1042373
nevova,32,Down,1649331994.1522434
