user,keycode,event,time
Alex,20,Down,1649439558.6576836
Alex,20,Up,1649439558.7935593
Alex,66,Down,1649439558.9488497
Alex,66,Up,1649439559.0280302
Alex,20,Down,1649439559.1030133
Alex,20,Up,1649439559.19692
Alex,76,Down,1649439559.4682236
Alex,76,Up,1649439559.5540175
Alex,84,Down,1649439561.5523286
Alex,84,Up,1649439561.6490796
Alex,81,Down,1649439561.668029
Alex,89,Down,1649439561.7158964
Alex,81,Up,1649439561.752823
Alex,89,Up,1649439561.8192654
Alex,83,Down,1649439561.9084666
Alex,84,Down,1649439561.9782686
Alex,83,Up,1649439561.984254
Alex,84,Up,1649439562.0680292
Alex,32,Down,1649439562.1946905
Alex,32,Up,1649439562.267496
Alex,67,Down,1649439563.1985378
Alex,67,Up,1649439563.280644
Alex,74,Down,1649439563.3987584
Alex,74,Up,1649439563.4779181
Alex,74,Down,1649439563.5152407
Alex,74,Up,1649439563.604981
Alex,188,Down,1649439563.7263541
Alex,188,Up,1649439563.832847
Alex,72,Down,1649439563.973067
Alex,72,Up,1649439564.0449483
Alex,70,Down,1649439564.10096
Alex,70,Up,1649439564.189187
Alex,186,Down,1649439564.3588896
Alex,186,Up,1649439564.4476383
Alex,84,Down,1649439564.501591
Alex,84,Up,1649439564.5805793
Alex,89,Down,1649439564.6436188
Alex,89,Up,1649439564.7254007
Alex,66,Down,1649439564.7989478
Alex,66,Up,1649439564.893604
Alex,90,Down,1649439564.9586372
Alex,90,Up,1649439565.0276892
Alex,32,Down,1649439565.1142144
Alex,32,Up,1649439565.194498
Alex,68,Down,1649439566.2008743
Alex,68,Up,1649439566.301987
Alex,83,Down,1649439566.4048975
Alex,83,Up,1649439566.4956026
Alex,67,Down,1649439566.6426234
Alex,67,Up,1649439566.71862
Alex,73,Down,1649439566.9260113
Alex,73,Up,1649439567.0211403
Alex,84,Down,1649439567.0579345
Alex,84,Up,1649439567.1451347
Alex,85,Down,1649439567.168983
Alex,85,Up,1649439567.2620234
Alex,74,Down,1649439567.30291
Alex,74,Up,1649439567.3820598
Alex,32,Down,1649439567.45485
Alex,32,Up,1649439567.567021
Alex,71,Down,1649439567.5799813
Alex,71,Up,1649439567.6566184
Alex,74,Down,1649439567.6600015
Alex,74,Up,1649439567.7658398
Alex,72,Down,1649439567.820987
Alex,72,Up,1649439567.925863
Alex,90,Down,1649439568.059052
Alex,90,Up,1649439568.1377132
Alex,76,Down,1649439568.3618398
Alex,76,Up,1649439568.45707
Alex,82,Down,1649439568.5279922
Alex,82,Up,1649439568.665465
Alex,70,Down,1649439568.7255306
Alex,70,Up,1649439568.850616
Alex,191,Down,1649439570.387888
Alex,191,Up,1649439570.5041203
Alex,32,Down,1649439571.162671
Alex,32,Up,1649439571.2656572
Alex,70,Down,1649439571.6429296
Alex,32,Down,1649439571.73167
Alex,70,Up,1649439571.7397063
Alex,32,Up,1649439571.8099444
Alex,78,Down,1649439571.8645964
Alex,70,Down,1649439571.9234354
Alex,78,Up,1649439571.9497898
Alex,70,Up,1649439572.0019507
Alex,82,Down,1649439572.120644
Alex,82,Up,1649439572.2433586
Alex,186,Down,1649439572.3219533
Alex,186,Up,1649439572.4209526
Alex,84,Down,1649439572.434048
Alex,84,Up,1649439572.518969
Alex,32,Down,1649439572.6053941
Alex,32,Up,1649439572.6788635
Alex,89,Down,1649439573.7120101
Alex,89,Up,1649439573.79099
Alex,70,Down,1649439573.799007
Alex,70,Up,1649439573.8916693
Alex,88,Down,1649439574.2639754
Alex,88,Up,1649439574.3538566
Alex,70,Down,1649439574.493236
Alex,70,Up,1649439574.5798657
Alex,75,Down,1649439574.6257446
Alex,75,Up,1649439574.705148
Alex,74,Down,1649439574.7537947
Alex,74,Up,1649439574.861917
Alex,32,Down,1649439574.9776268
Alex,32,Up,1649439575.087687
Alex,71,Down,1649439575.629699
Alex,71,Up,1649439575.7266665
Alex,74,Down,1649439575.78997
Alex,74,Up,1649439575.8808155
Alex,68,Down,1649439575.9486494
Alex,68,Up,1649439576.0480874
Alex,67,Down,1649439576.1677322
Alex,67,Up,1649439576.2460325
Alex,84,Down,1649439576.3527277
Alex,84,Up,1649439576.434432
Alex,76,Down,1649439576.7530894
Alex,76,Up,1649439576.8409088
Alex,89,Down,1649439577.0037127
Alex,89,Up,1649439577.0788798
Alex,84,Down,1649439577.1177716
Alex,84,Up,1649439577.2167277
Alex,68,Down,1649439577.2336724
Alex,68,Up,1649439577.3195977
Alex,89,Down,1649439577.5004659
Alex,89,Up,1649439577.6001048
Alex,74,Down,1649439577.664187
Alex,74,Up,1649439577.7848659
Alex,81,Down,1649439577.8730755
Alex,81,Up,1649439577.9676366
Alex,32,Down,1649439578.1096983
Alex,32,Up,1649439578.1934707
Alex,72,Down,1649439579.0989945
Alex,72,Up,1649439579.2015789
Alex,70,Down,1649439579.2771578
Alex,70,Up,1649439579.3694184
Alex,188,Down,1649439579.4702303
Alex,188,Up,1649439579.5721483
Alex,74,Down,1649439579.6806052
Alex,74,Up,1649439579.7833297
Alex,78,Down,1649439579.82433
Alex,78,Up,1649439579.934977
Alex,83,Down,1649439580.0069406
Alex,83,Up,1649439580.1288393
Alex,32,Down,1649439580.2069056
Alex,32,Up,1649439580.2965045
Alex,71,Down,1649439581.4201016
Alex,74,Down,1649439581.487926
Alex,71,Up,1649439581.506956
Alex,74,Up,1649439581.593079
Alex,32,Down,1649439581.6664925
Alex,32,Up,1649439581.780865
Alex,65,Down,1649439581.851643
Alex,74,Down,1649439581.9126422
Alex,65,Up,1649439581.9395087
Alex,74,Up,1649439582.014855
Alex,72,Down,1649439582.066768
Alex,72,Up,1649439582.155701
Alex,86,Down,1649439582.2629242
Alex,86,Up,1649439582.3547182
Alex,66,Down,1649439582.4686642
Alex,66,Up,1649439582.5681288
Alex,72,Down,1649439582.6928148
Alex,72,Up,1649439582.780846
Alex,74,Down,1649439582.8478594
Alex,74,Up,1649439582.939555
Alex,68,Down,1649439583.002992
Alex,68,Up,1649439583.1175494
Alex,70,Down,1649439583.2442348
Alex,70,Up,1649439583.3269477
Alex,89,Down,1649439583.925714
Alex,89,Up,1649439584.024465
Alex,66,Down,1649439584.0811296
Alex,66,Up,1649439584.1699219
Alex,190,Down,1649439584.4990149
Alex,190,Up,1649439584.5780923
Alex,32,Down,1649439584.6620672
Alex,32,Up,1649439584.7547307
Alex,71,Down,1649439584.8135998
Alex,74,Down,1649439584.8769097
Alex,71,Up,1649439584.8928185
Alex,74,Up,1649439584.951782
Alex,80,Down,1649439585.185653
Alex,80,Up,1649439585.271717
Alex,66,Down,1649439585.4961133
Alex,66,Up,1649439585.606713
Alex,87,Down,1649439585.6916149
Alex,66,Down,1649439585.76193
Alex,87,Up,1649439585.767911
Alex,66,Up,1649439585.8447037
