user,keycode,event,time
Alexander,66,Down,1649610927.5280511
Alexander,66,Up,1649610927.5757809
Alexander,76,Down,1649610928.0806885
Alexander,76,Up,1649610928.1571903
Alexander,84,Down,1649610928.2177517
Alexander,84,Up,1649610928.319697
Alexander,81,Down,1649610928.439831
Alexander,81,Up,1649610928.5512385
Alexander,89,Down,1649610928.7104542
Alexander,89,Up,1649610928.7811854
Alexander,83,Down,1649610928.9213347
Alexander,83,Up,1649610929.0376263
Alexander,84,Down,1649610929.097984
Alexander,84,Up,1649610929.2119176
Alexander,32,Down,1649610929.3173006
Alexander,32,Up,1649610929.4231293
Alexander,67,Down,1649610929.559925
Alexander,67,Up,1649610929.6415384
Alexander,74,Down,1649610929.7201438
Alexander,74,Up,1649610929.778072
Alexander,74,Down,1649610929.840532
Alexander,74,Up,1649610929.8985448
Alexander,188,Down,1649610930.358382
Alexander,188,Up,1649610930.432595
Alexander,72,Down,1649610930.5647647
Alexander,72,Up,1649610930.6259067
Alexander,70,Down,1649610930.6912932
Alexander,70,Up,1649610930.8053222
Alexander,186,Down,1649610930.8920758
Alexander,186,Up,1649610930.9669023
Alexander,84,Down,1649610931.0263188
Alexander,84,Up,1649610931.1123247
Alexander,89,Down,1649610931.1880305
Alexander,89,Up,1649610931.2579558
Alexander,66,Down,1649610931.363026
Alexander,66,Up,1649610931.448129
Alexander,90,Down,1649610931.4501271
Alexander,90,Up,1649610931.583831
Alexander,32,Down,1649610931.6380615
Alexander,32,Up,1649610931.7673242
Alexander,68,Down,1649610931.7694087
Alexander,83,Down,1649610931.8876884
Alexander,68,Up,1649610931.9462528
Alexander,83,Up,1649610932.03978
Alexander,67,Down,1649610932.1828144
Alexander,67,Up,1649610932.309373
Alexander,73,Down,1649610932.540923
Alexander,73,Up,1649610932.6261022
Alexander,84,Down,1649610932.696407
Alexander,84,Up,1649610932.8099334
Alexander,85,Down,1649610932.811018
Alexander,85,Up,1649610932.8624148
Alexander,74,Down,1649610932.976233
Alexander,74,Up,1649610933.0434182
Alexander,32,Down,1649610933.1080766
Alexander,32,Up,1649610933.2353544
Alexander,71,Down,1649610933.3949096
Alexander,71,Up,1649610933.4694426
Alexander,74,Down,1649610933.574177
Alexander,74,Up,1649610933.6527538
Alexander,72,Down,1649610933.9513993
Alexander,72,Up,1649610934.013643
Alexander,90,Down,1649610934.0721335
Alexander,90,Up,1649610934.2073286
Alexander,76,Down,1649610934.2632084
Alexander,76,Up,1649610934.3386178
Alexander,82,Down,1649610934.3742948
Alexander,70,Down,1649610934.482477
Alexander,82,Up,1649610934.5319262
Alexander,70,Up,1649610934.5952086
Alexander,191,Down,1649610935.1119452
Alexander,191,Up,1649610935.1574461
Alexander,32,Down,1649610935.3439424
Alexander,32,Up,1649610935.4470172
Alexander,70,Down,1649610935.560611
Alexander,70,Up,1649610935.683762
Alexander,32,Down,1649610935.7660835
Alexander,32,Up,1649610935.8807333
Alexander,78,Down,1649610935.947506
Alexander,78,Up,1649610936.008515
Alexander,70,Down,1649610936.051566
Alexander,70,Up,1649610936.1822448
Alexander,82,Down,1649610936.1842513
Alexander,82,Up,1649610936.2518508
Alexander,186,Down,1649610936.3655357
Alexander,186,Up,1649610936.443695
Alexander,84,Down,1649610936.4456966
Alexander,84,Up,1649610936.5447128
Alexander,32,Down,1649610936.5942366
Alexander,32,Up,1649610936.732415
Alexander,89,Down,1649610937.2972152
Alexander,89,Up,1649610937.385435
Alexander,70,Down,1649610937.387438
Alexander,70,Up,1649610937.4828172
Alexander,88,Down,1649610937.5849435
Alexander,70,Down,1649610937.6469162
Alexander,88,Up,1649610937.7020802
Alexander,70,Up,1649610937.774666
Alexander,75,Down,1649610937.8329158
Alexander,75,Up,1649610937.906765
Alexander,74,Down,1649610937.9916003
Alexander,74,Up,1649610938.0830133
Alexander,32,Down,1649610938.1943445
Alexander,32,Up,1649610938.340602
Alexander,71,Down,1649610938.5139241
Alexander,71,Up,1649610938.5995278
Alexander,74,Down,1649610938.663195
Alexander,74,Up,1649610938.735898
Alexander,68,Down,1649610938.8833268
Alexander,68,Up,1649610939.0048614
Alexander,67,Down,1649610939.1062794
Alexander,67,Up,1649610939.2270918
Alexander,84,Down,1649610939.2765434
Alexander,84,Up,1649610939.3897948
Alexander,76,Down,1649610939.7217786
Alexander,76,Up,1649610939.7888894
Alexander,89,Down,1649610940.1743612
Alexander,89,Up,1649610940.250003
Alexander,84,Down,1649610940.2783368
Alexander,84,Up,1649610940.35104
Alexander,68,Down,1649610940.5863497
Alexander,68,Up,1649610940.7092276
Alexander,89,Down,1649610940.8327873
Alexander,89,Up,1649610940.8929622
Alexander,83,Down,1649610941.1209362
Alexander,83,Up,1649610941.2109632
Alexander,74,Down,1649610941.5439098
Alexander,74,Up,1649610941.60054
Alexander,8,Down,1649610941.917997
Alexander,8,Up,1649610941.9678812
Alexander,8,Down,1649610942.0393615
Alexander,8,Up,1649610942.1163957
Alexander,74,Down,1649610942.2419348
Alexander,81,Down,1649610942.287409
Alexander,74,Up,1649610942.3157892
Alexander,81,Up,1649610942.410291
Alexander,32,Down,1649610942.7490664
Alexander,32,Up,1649610942.882619
Alexander,72,Down,1649610943.001726
Alexander,72,Up,1649610943.0711694
Alexander,70,Down,1649610943.1327965
Alexander,70,Up,1649610943.2196438
Alexander,188,Down,1649610943.2960763
Alexander,188,Up,1649610943.3654706
Alexander,74,Down,1649610943.4843442
Alexander,74,Up,1649610943.5550482
Alexander,78,Down,1649610943.6594493
Alexander,78,Up,1649610943.7321367
Alexander,83,Down,1649610943.7515733
Alexander,83,Up,1649610943.8750062
Alexander,32,Down,1649610944.4001184
Alexander,32,Up,1649610944.5379558
Alexander,71,Down,1649610944.6535685
Alexander,71,Up,1649610944.7284236
Alexander,74,Down,1649610944.7896707
Alexander,74,Up,1649610944.8685749
Alexander,32,Down,1649610944.9021893
Alexander,32,Up,1649610945.0283337
Alexander,65,Down,1649610945.117352
Alexander,65,Up,1649610945.264688
Alexander,74,Down,1649610945.6602542
Alexander,74,Up,1649610945.75376
Alexander,72,Down,1649610945.862014
Alexander,72,Up,1649610945.9302423
Alexander,66,Down,1649610946.0452201
Alexander,66,Up,1649610946.1041188
Alexander,8,Down,1649610946.5048158
Alexander,8,Up,1649610946.5979981
Alexander,86,Down,1649610947.1369839
Alexander,66,Down,1649610947.20938
Alexander,86,Up,1649610947.265678
Alexander,66,Up,1649610947.3057199
Alexander,72,Down,1649610947.377859
Alexander,72,Up,1649610947.4527678
Alexander,74,Down,1649610947.5475948
Alexander,68,Down,1649610947.6225026
Alexander,74,Up,1649610947.6442091
Alexander,70,Down,1649610947.7007608
Alexander,68,Up,1649610947.7379408
Alexander,70,Up,1649610947.8121963
Alexander,89,Down,1649610947.814155
Alexander,89,Up,1649610947.857121
Alexander,66,Down,1649610947.9672565
Alexander,66,Up,1649610948.0406861
Alexander,190,Down,1649610948.5639966
Alexander,190,Up,1649610948.6568673
Alexander,32,Down,1649610948.911941
Alexander,32,Up,1649610949.0580764
Alexander,71,Down,1649610949.137355
Alexander,71,Up,1649610949.230245
Alexander,74,Down,1649610949.2315993
Alexander,74,Up,1649610949.2802172
Alexander,80,Down,1649610949.441376
Alexander,80,Up,1649610949.513485
Alexander,66,Down,1649610949.5871074
Alexander,66,Up,1649610949.66932
Alexander,87,Down,1649610949.8239279
Alexander,87,Up,1649610949.856891
Alexander,66,Down,1649610949.916803
Alexander,66,Up,1649610949.9690938
Alexander,66,Down,1649610950.049216
Alexander,66,Up,1649610950.1202583
Alexander,32,Down,1649610950.5440776
Alexander,32,Up,1649610950.6676059
Alexander,78,Down,1649610950.7074428
Alexander,78,Up,1649610950.7830622
Alexander,72,Down,1649610950.8780463
Alexander,72,Up,1649610950.9328861
Alexander,84,Down,1649610950.9905431
Alexander,84,Up,1649610951.086503
Alexander,188,Down,1649610951.1935744
Alexander,188,Up,1649610951.2585616
Alexander,69,Down,1649610951.3251195
Alexander,69,Up,1649610951.4590921
Alexander,190,Down,1649610951.7734475
Alexander,190,Up,1649610951.8284807
Alexander,78,Down,1649610952.0352428
Alexander,78,Up,1649610952.0744536
Alexander,32,Down,1649610952.340943
Alexander,32,Up,1649610952.459845
Alexander,74,Down,1649610952.7174299
Alexander,74,Up,1649610952.7763178
Alexander,71,Down,1649610953.2514226
Alexander,71,Up,1649610953.3295705
Alexander,72,Down,1649610953.6307304
Alexander,72,Up,1649610953.6942616
Alexander,84,Down,1649610953.8953605
Alexander,84,Up,1649610953.9927075
Alexander,76,Down,1649610954.1074798
Alexander,76,Up,1649610954.1945703
Alexander,84,Down,1649610954.3805895
Alexander,84,Up,1649610954.4904487
Alexander,75,Down,1649610954.6538875
Alexander,75,Up,1649610954.761013
Alexander,84,Down,1649610955.0759096
Alexander,84,Up,1649610955.1523697
Alexander,89,Down,1649610955.281174
Alexander,89,Up,1649610955.3646736
Alexander,66,Down,1649610955.5069942
Alexander,66,Up,1649610955.5776546
Alexander,90,Down,1649610955.5799778
Alexander,90,Up,1649610955.69861
Alexander,32,Down,1649610955.8456151
Alexander,32,Up,1649610955.9966571
Alexander,66,Down,1649610956.1137202
Alexander,66,Up,1649610956.198601
Alexander,32,Down,1649610956.3188846
Alexander,32,Up,1649610956.462995
Alexander,69,Down,1649610956.6816893
Alexander,69,Up,1649610956.7813027
Alexander,78,Down,1649610957.0550022
Alexander,78,Up,1649610957.110123
Alexander,74,Down,1649610957.2775252
Alexander,74,Up,1649610957.335658
Alexander,88,Down,1649610957.5921514
Alexander,88,Up,1649610957.707902
Alexander,89,Down,1649610957.887963
Alexander,89,Up,1649610957.9581115
Alexander,84,Down,1649610958.03141
Alexander,84,Up,1649610958.0876932
Alexander,89,Down,1649610958.1515548
Alexander,89,Up,1649610958.2266803
