user,keycode,event,time
DDD,66,Down,1649262521.6411424
DDD,66,Up,1649262521.7603996
DDD,76,Down,1649262521.8703337
DDD,76,Up,1649262521.954478
DDD,84,Down,1649262522.0252316
DDD,81,Down,1649262522.1383152
DDD,84,Up,1649262522.1577315
DDD,81,Up,1649262522.2693932
DDD,89,Down,1649262522.8082323
DDD,89,Up,1649262522.86858
DDD,83,Down,1649262522.954694
DDD,83,Up,1649262523.0345705
DDD,84,Down,1649262523.1802723
DDD,84,Up,1649262523.248032
DDD,32,Down,1649262523.575464
DDD,32,Up,1649262523.6408393
DDD,67,Down,1649262523.7225728
DDD,67,Up,1649262523.808642
DDD,74,Down,1649262523.9547074
DDD,74,Up,1649262524.0175211
DDD,74,Down,1649262524.124242
DDD,74,Up,1649262524.1885808
DDD,188,Down,1649262524.3725939
DDD,188,Up,1649262524.427946
DDD,72,Down,1649262526.6323547
DDD,72,Up,1649262526.767466
DDD,70,Down,1649262526.8733943
DDD,70,Up,1649262526.8914661
DDD,186,Down,1649262527.0135777
DDD,186,Up,1649262527.0706575
DDD,84,Down,1649262527.1925879
DDD,84,Up,1649262527.26733
DDD,89,Down,1649262527.453568
DDD,89,Up,1649262527.5354884
DDD,66,Down,1649262527.8262715
DDD,66,Up,1649262527.902146
DDD,90,Down,1649262528.2600164
DDD,90,Up,1649262528.3566756
DDD,32,Down,1649262528.5162404
DDD,32,Up,1649262528.6052759
DDD,68,Down,1649262528.8936322
DDD,68,Up,1649262529.061547
DDD,83,Down,1649262529.128704
DDD,83,Up,1649262529.2365158
DDD,67,Down,1649262529.3582394
DDD,67,Up,1649262529.4552674
DDD,73,Down,1649262529.5535557
DDD,73,Up,1649262529.6383286
DDD,84,Down,1649262529.7143648
DDD,84,Up,1649262529.7832708
DDD,85,Down,1649262529.968263
DDD,85,Up,1649262530.048559
DDD,74,Down,1649262530.1943467
DDD,74,Up,1649262530.2684536
DDD,32,Down,1649262530.4093132
DDD,32,Up,1649262530.4704373
DDD,71,Down,1649262530.6306043
DDD,71,Up,1649262530.7026544
DDD,74,Down,1649262530.7792957
DDD,74,Up,1649262530.8514295
DDD,72,Down,1649262530.987263
DDD,72,Up,1649262531.0453436
DDD,90,Down,1649262531.1165917
DDD,90,Up,1649262531.2136014
DDD,76,Down,1649262532.3432922
DDD,76,Up,1649262532.4178975
DDD,82,Down,1649262532.5223465
DDD,82,Up,1649262532.6092227
DDD,70,Down,1649262532.8794496
DDD,70,Up,1649262532.9673293
DDD,191,Down,1649262533.5616298
DDD,191,Up,1649262533.6308327
DDD,32,Down,1649262533.7643623
DDD,32,Up,1649262533.8538907
DDD,70,Down,1649262534.0254638
DDD,70,Up,1649262534.110601
DDD,32,Down,1649262534.3614104
DDD,32,Up,1649262534.424426
DDD,78,Down,1649262534.6093485
DDD,78,Up,1649262534.6713834
DDD,70,Down,1649262534.7237
DDD,82,Down,1649262534.8152082
DDD,70,Up,1649262534.8585508
DDD,82,Up,1649262534.916373
DDD,186,Down,1649262535.130332
DDD,186,Up,1649262535.1884358
DDD,84,Down,1649262535.2859368
DDD,84,Up,1649262535.3663228
DDD,32,Down,1649262535.6483052
DDD,32,Up,1649262535.719343
DDD,89,Down,1649262535.865482
DDD,89,Up,1649262535.928601
DDD,70,Down,1649262535.9832208
DDD,70,Up,1649262536.065717
DDD,88,Down,1649262536.605386
DDD,88,Up,1649262536.7304804
DDD,70,Down,1649262536.7936418
DDD,70,Up,1649262536.922459
DDD,75,Down,1649262537.1085114
DDD,75,Up,1649262537.2379172
DDD,74,Down,1649262537.4104273
DDD,74,Up,1649262537.499933
DDD,32,Down,1649262537.60408
DDD,32,Up,1649262537.6701317
DDD,71,Down,1649262537.828467
DDD,71,Up,1649262537.8938198
DDD,74,Down,1649262537.9389353
DDD,74,Up,1649262538.004382
DDD,68,Down,1649262538.095441
DDD,68,Up,1649262538.1764636
DDD,67,Down,1649262538.3094103
DDD,67,Up,1649262538.4045422
DDD,84,Down,1649262538.5606806
DDD,84,Up,1649262538.6185088
DDD,76,Down,1649262538.7144368
DDD,76,Up,1649262538.7861774
DDD,89,Down,1649262538.961609
DDD,89,Up,1649262539.0053263
DDD,84,Down,1649262539.0704145
DDD,84,Up,1649262539.1305647
DDD,68,Down,1649262539.2923968
DDD,68,Up,1649262539.3691344
DDD,89,Down,1649262539.4712653
DDD,89,Up,1649262539.5446663
DDD,74,Down,1649262539.6961958
DDD,74,Up,1649262539.7734563
DDD,81,Down,1649262539.8692062
DDD,81,Up,1649262539.9921644
DDD,32,Down,1649262540.0924327
DDD,32,Up,1649262540.1568027
DDD,72,Down,1649262540.3093312
DDD,72,Up,1649262540.3727875
DDD,70,Down,1649262540.4666786
DDD,70,Up,1649262540.5321617
DDD,188,Down,1649262540.7053185
DDD,188,Up,1649262540.762312
DDD,74,Down,1649262540.923172
DDD,74,Up,1649262540.989338
DDD,78,Down,1649262541.1313236
DDD,78,Up,1649262541.1991773
DDD,83,Down,1649262541.2725039
DDD,83,Up,1649262541.3654377
DDD,32,Down,1649262541.4104052
DDD,32,Up,1649262541.4842436
DDD,71,Down,1649262541.6424143
DDD,71,Up,1649262541.7131848
DDD,74,Down,1649262541.828337
DDD,74,Up,1649262541.912149
DDD,32,Down,1649262541.9411328
DDD,32,Up,1649262542.0224473
DDD,65,Down,1649262542.149316
DDD,65,Up,1649262542.2696488
DDD,74,Down,1649262542.3129108
DDD,74,Up,1649262542.3933642
DDD,72,Down,1649262542.7682912
DDD,72,Up,1649262542.8353875
DDD,86,Down,1649262543.0247078
DDD,86,Up,1649262543.0989444
DDD,66,Down,1649262543.1527321
DDD,66,Up,1649262543.2213635
DDD,72,Down,1649262543.346071
DDD,72,Up,1649262543.4053924
DDD,74,Down,1649262543.5173905
DDD,74,Up,1649262543.6038582
DDD,68,Down,1649262543.651222
DDD,70,Down,1649262543.7332795
DDD,68,Up,1649262543.7572114
DDD,70,Up,1649262543.819332
DDD,89,Down,1649262543.8649795
DDD,89,Up,1649262543.937442
DDD,66,Down,1649262544.0653033
DDD,66,Up,1649262544.132241
DDD,190,Down,1649262544.6535192
DDD,190,Up,1649262544.711374
DDD,32,Down,1649262544.7491786
DDD,32,Up,1649262544.8186123
DDD,71,Down,1649262544.9406898
DDD,71,Up,1649262545.0096645
DDD,74,Down,1649262545.0379648
DDD,74,Up,1649262545.0924065
DDD,80,Down,1649262545.2395594
DDD,80,Up,1649262545.3125262
DDD,66,Down,1649262545.407246
DDD,66,Up,1649262545.499532
DDD,87,Down,1649262545.7604923
DDD,87,Up,1649262545.860677
DDD,66,Down,1649262546.075302
DDD,66,Up,1649262546.1365588
DDD,66,Down,1649262546.2384791
DDD,66,Up,1649262546.2981148
DDD,32,Down,1649262546.5761337
DDD,32,Up,1649262546.6648717
DDD,78,Down,1649262546.7801843
DDD,78,Up,1649262546.8351548
DDD,72,Down,1649262546.9429576
DDD,72,Up,1649262547.00132
DDD,84,Down,1649262547.064503
DDD,84,Up,1649262547.136153
DDD,188,Down,1649262547.27433
DDD,188,Up,1649262547.3286376
DDD,69,Down,1649262547.4223623
DDD,69,Up,1649262547.5188773
DDD,190,Down,1649262547.6023896
DDD,190,Up,1649262547.636538
DDD,78,Down,1649262547.859203
DDD,78,Up,1649262547.9112859
DDD,32,Down,1649262548.075264
DDD,32,Up,1649262548.1571617
DDD,74,Down,1649262548.3480382
DDD,74,Up,1649262548.4142342
DDD,71,Down,1649262548.481141
DDD,71,Up,1649262548.5576556
DDD,72,Down,1649262548.5841513
DDD,72,Up,1649262548.644586
DDD,84,Down,1649262548.7306058
DDD,84,Up,1649262548.803265
DDD,76,Down,1649262548.9296951
DDD,76,Up,1649262549.019191
DDD,84,Down,1649262549.3563118
DDD,84,Up,1649262549.455594
DDD,75,Down,1649262549.5898948
DDD,75,Up,1649262549.673422
DDD,84,Down,1649262549.7528546
DDD,84,Up,1649262549.8188956
DDD,89,Down,1649262549.9526255
DDD,89,Up,1649262550.0292647
DDD,66,Down,1649262550.157619
DDD,66,Up,1649262550.234146
DDD,90,Down,1649262550.2762067
DDD,90,Up,1649262550.3864
DDD,32,Down,1649262550.5235932
DDD,32,Up,1649262550.6141143
DDD,66,Down,1649262550.7035558
DDD,66,Up,1649262550.7588606
DDD,32,Down,1649262550.8232734
DDD,32,Up,1649262550.8862507
DDD,69,Down,1649262551.3356152
DDD,69,Up,1649262551.4077532
DDD,78,Down,1649262551.4944499
DDD,78,Up,1649262551.5633605
DDD,74,Down,1649262551.662981
DDD,74,Up,1649262551.7361698
DDD,88,Down,1649262551.776154
DDD,88,Up,1649262551.8326924
DDD,89,Down,1649262551.8901677
DDD,89,Up,1649262551.9524708
DDD,84,Down,1649262552.0017066
DDD,84,Up,1649262552.0636806
DDD,89,Down,1649262552.098413
DDD,89,Up,1649262552.1702714
DDD,66,Down,1649262552.307051
DDD,66,Up,1649262552.385234
DDD,90,Down,1649262552.4545548
DDD,90,Up,1649262552.5454283
DDD,32,Down,1649262552.6601484
DDD,32,Up,1649262552.7350953
DDD,89,Down,1649262552.8406303
DDD,89,Up,1649262552.9082336
DDD,74,Down,1649262553.0164661
DDD,74,Up,1649262553.0933704
DDD,68,Down,1649262553.158444
DDD,83,Down,1649262553.2372468
DDD,68,Up,1649262553.257361
DDD,83,Up,1649262553.3236556
DDD,219,Down,1649262553.5583441
DDD,219,Up,1649262553.6032298
DDD,32,Down,1649262553.994595
DDD,32,Up,1649262554.059121
DDD,71,Down,1649262554.1882415
DDD,71,Up,1649262554.2612507
DDD,72,Down,1649262554.295332
DDD,72,Up,1649262554.3604114
DDD,84,Down,1649262554.4315917
DDD,84,Up,1649262554.4975567
DDD,76,Down,1649262554.859165
DDD,76,Up,1649262554.9106584
DDD,75,Down,1649262555.0424602
DDD,75,Up,1649262555.1211116
DDD,74,Down,1649262555.216004
DDD,74,Up,1649262555.2633827
DDD,186,Down,1649262555.4193125
DDD,186,Up,1649262555.489227
DDD,84,Down,1649262555.555196
DDD,84,Up,1649262555.6254334
DDD,89,Down,1649262555.747334
DDD,89,Up,1649262555.8284235
DDD,66,Down,1649262555.970531
DDD,66,Up,1649262556.064515
DDD,81,Down,1649262556.1822648
DDD,81,Up,1649262556.2733707
DDD,190,Down,1649262557.2109127
DDD,190,Up,1649262557.3282955
DDD,8,Down,1649262558.9595656
DDD,8,Up,1649262559.0262544
DDD,191,Down,1649262559.8766596
DDD,191,Up,1649262559.9263442
DDD,72,Down,1649262568.0927956
DDD,72,Up,1649262568.147107
DDD,65,Down,1649262568.2268949
DDD,65,Up,1649262568.354267
DDD,8,Down,1649262569.6107817
DDD,8,Up,1649262569.710829
DDD,8,Down,1649262573.0420055
DDD,8,Up,1649262573.1396444
DDD,72,Down,1649262573.4273844
DDD,72,Up,1649262573.508788
DDD,65,Down,1649262573.7698112
DDD,65,Up,1649262573.884296
DDD,84,Down,1649262574.829581
DDD,84,Up,1649262574.972473
DDD,72,Down,1649262576.4086826
DDD,72,Up,1649262576.4716768
DDD,32,Down,1649262577.6683435
DDD,32,Up,1649262577.7835863
DDD,73,Down,1649262577.9769514
DDD,73,Up,1649262578.049257
DDD,84,Down,1649262578.2445526
DDD,84,Up,1649262578.31995
DDD,83,Down,1649262579.0254173
DDD,83,Up,1649262579.1172762
DDD,69,Down,1649262579.4742076
DDD,69,Up,1649262579.544662
DDD,76,Down,1649262579.8014786
DDD,76,Up,1649262579.865344
DDD,70,Down,1649262580.0605052
DDD,70,Up,1649262580.1322474
DDD,32,Down,1649262581.1485412
DDD,32,Up,1649262581.2314043
DDD,68,Down,1649262581.38938
DDD,68,Up,1649262581.493421
DDD,82,Down,1649262581.803308
DDD,82,Up,1649262581.8776107
DDD,89,Down,1649262582.1508458
DDD,89,Up,1649262582.2144058
DDD,32,Down,1649262582.5946362
DDD,32,Up,1649262582.7031863
DDD,65,Down,1649262583.0155427
DDD,65,Up,1649262583.138318
DDD,80,Down,1649262583.3161805
DDD,80,Up,1649262583.38731
DDD,80,Down,1649262583.533526
DDD,80,Up,1649262583.5981934
DDD,69,Down,1649262583.723583
DDD,69,Up,1649262583.8243227
DDD,65,Down,1649262584.0102491
DDD,65,Up,1649262584.1184332
DDD,82,Down,1649262585.004508
DDD,82,Up,1649262585.0912125
DDD,32,Down,1649262585.3684638
DDD,32,Up,1649262585.4534454
