user,keycode,event,time
Egor,66,Down,1649692619.284198
Egor,66,Up,1649692619.3809867
Egor,76,Down,1649692619.450868
Egor,84,Down,1649692619.5216188
Egor,76,Up,1649692619.5333369
Egor,84,Up,1649692619.591756
Egor,81,Down,1649692620.1936052
Egor,81,Up,1649692620.339139
Egor,89,Down,1649692620.5497742
Egor,83,Down,1649692620.6165144
Egor,89,Up,1649692620.6354647
Egor,84,Down,1649692620.6948376
Egor,83,Up,1649692620.7608507
Egor,84,Up,1649692620.7977395
Egor,32,Down,1649692620.8592563
Egor,32,Up,1649692620.9361243
Egor,67,Down,1649692621.0096548
Egor,67,Up,1649692621.0919302
Egor,74,Down,1649692621.1381729
Egor,74,Up,1649692621.1993332
Egor,74,Down,1649692621.2784984
Egor,74,Up,1649692621.3643026
Egor,188,Down,1649692621.5280454
Egor,72,Down,1649692621.5993564
Egor,188,Up,1649692621.611329
Egor,70,Down,1649692621.6673248
Egor,72,Up,1649692621.7038054
Egor,70,Up,1649692621.771264
Egor,186,Down,1649692621.8264873
Egor,84,Down,1649692621.8642082
Egor,186,Up,1649692621.9044373
Egor,84,Up,1649692621.9503152
Egor,89,Down,1649692622.0298972
Egor,66,Down,1649692622.08648
Egor,89,Up,1649692622.127366
Egor,66,Up,1649692622.1546564
Egor,90,Down,1649692622.3154194
Egor,90,Up,1649692622.3891973
Egor,32,Down,1649692622.4227955
Egor,32,Up,1649692622.4898577
Egor,68,Down,1649692622.5203578
Egor,83,Down,1649692622.6462092
Egor,68,Up,1649692622.6793773
Egor,67,Down,1649692622.6873538
Egor,83,Up,1649692622.7342982
Egor,67,Up,1649692622.7849495
Egor,73,Down,1649692622.8672864
Egor,84,Down,1649692622.9242957
Egor,73,Up,1649692622.9412563
Egor,84,Up,1649692622.9988184
Egor,85,Down,1649692623.051629
Egor,85,Up,1649692623.1116714
Egor,74,Down,1649692623.1727262
Egor,32,Down,1649692623.2199597
Egor,74,Up,1649692623.2478836
Egor,32,Up,1649692623.3070474
Egor,71,Down,1649692623.3750541
Egor,71,Up,1649692623.467532
Egor,74,Down,1649692623.5026627
Egor,74,Up,1649692623.5753863
Egor,72,Down,1649692623.6464024
Egor,72,Up,1649692623.7323856
Egor,90,Down,1649692623.7930202
Egor,90,Up,1649692623.8822906
Egor,76,Down,1649692623.955364
Egor,76,Up,1649692624.0414612
Egor,70,Down,1649692624.1499403
Egor,70,Up,1649692624.2149715
Egor,8,Down,1649692624.6114626
Egor,8,Up,1649692624.7018118
Egor,82,Down,1649692624.7090378
Egor,70,Down,1649692624.754629
Egor,82,Up,1649692624.8152287
Egor,70,Up,1649692624.8417685
Egor,161,Down,1649692625.0218806
Egor,191,Down,1649692625.0821626
Egor,161,Up,1649692625.1679256
Egor,191,Up,1649692625.1895597
Egor,32,Down,1649692625.198837
Egor,32,Up,1649692625.266287
Egor,70,Down,1649692625.349514
Egor,70,Up,1649692625.5276709
Egor,32,Down,1649692625.629494
Egor,32,Up,1649692625.741162
Egor,78,Down,1649692625.849922
Egor,70,Down,1649692625.9202168
Egor,78,Up,1649692625.9311872
Egor,70,Up,1649692625.9955292
Egor,82,Down,1649692626.0647342
Egor,82,Up,1649692626.136013
Egor,186,Down,1649692626.1521435
Egor,186,Up,1649692626.2168353
Egor,84,Down,1649692626.2284613
Egor,84,Up,1649692626.3043177
Egor,32,Down,1649692626.3161588
Egor,32,Up,1649692626.401736
Egor,89,Down,1649692626.7150698
Egor,70,Down,1649692626.7780418
Egor,89,Up,1649692626.8175495
Egor,70,Up,1649692626.8859587
Egor,88,Down,1649692627.002675
Egor,70,Down,1649692627.0759761
Egor,88,Up,1649692627.109506
Egor,75,Down,1649692627.1410801
Egor,75,Up,1649692627.1842957
Egor,70,Up,1649692627.2010117
Egor,74,Down,1649692627.255866
Egor,32,Down,1649692627.344299
Egor,74,Up,1649692627.3552115
Egor,32,Up,1649692627.4336069
Egor,71,Down,1649692627.6144469
Egor,71,Up,1649692627.7079184
Egor,74,Down,1649692627.9606142
Egor,74,Up,1649692628.0503767
Egor,68,Down,1649692628.5131128
Egor,68,Up,1649692628.6316447
Egor,67,Down,1649692628.74996
Egor,67,Up,1649692628.8394632
Egor,84,Down,1649692628.905786
Egor,84,Up,1649692628.99008
Egor,76,Down,1649692629.126829
Egor,76,Up,1649692629.2293265
Egor,89,Down,1649692629.3614545
Egor,84,Down,1649692629.4335017
Egor,89,Up,1649692629.484252
Egor,84,Up,1649692629.556233
Egor,68,Down,1649692629.7133005
Egor,68,Up,1649692629.7960198
Egor,89,Down,1649692629.8117363
Egor,89,Up,1649692629.8869925
Egor,74,Down,1649692629.9542596
Egor,81,Down,1649692630.0264146
Egor,74,Up,1649692630.039968
Egor,81,Up,1649692630.1395187
Egor,32,Down,1649692630.146485
Egor,32,Up,1649692630.2279198
Egor,72,Down,1649692630.2662835
Egor,70,Down,1649692630.3180068
Egor,72,Up,1649692630.3379536
Egor,188,Down,1649692630.3916318
Egor,70,Up,1649692630.405373
Egor,188,Up,1649692630.45955
Egor,74,Down,1649692630.5592813
Egor,74,Up,1649692630.6242764
Egor,78,Down,1649692630.7055209
Egor,83,Down,1649692630.7697747
Egor,78,Up,1649692630.7901855
Egor,83,Up,1649692630.8552027
Egor,32,Down,1649692630.871037
Egor,32,Up,1649692630.9543378
Egor,71,Down,1649692630.9839084
Egor,74,Down,1649692631.0545151
Egor,71,Up,1649692631.0664887
