user,keycode,event,time
Imya,66,Down,1649264214.0503252
Imya,66,Up,1649264214.1462708
Imya,76,Down,1649264215.5695693
Imya,76,Up,1649264215.649523
Imya,84,Down,1649264215.8737288
Imya,84,Up,1649264215.9376879
Imya,81,Down,1649264216.4661148
Imya,81,Up,1649264216.530078
Imya,89,Down,1649264216.6100328
Imya,89,Up,1649264216.6979828
Imya,83,Down,1649264216.7379596
Imya,83,Up,1649264216.8818772
Imya,84,Down,1649264218.1303754
Imya,32,Down,1649264218.2013335
Imya,84,Up,1649264218.250308
Imya,32,Up,1649264218.3142698
Imya,67,Down,1649264218.5301468
Imya,67,Up,1649264218.6021051
Imya,74,Down,1649264218.6660695
Imya,74,Up,1649264218.7380273
Imya,74,Down,1649264218.8259776
Imya,74,Up,1649264218.9059322
Imya,188,Down,1649264219.76204
Imya,188,Up,1649264219.8419938
Imya,72,Down,1649264220.057893
Imya,72,Up,1649264220.113861
Imya,70,Down,1649264220.2018101
Imya,70,Up,1649264220.2737696
Imya,186,Down,1649264220.4977925
Imya,186,Up,1649264220.577655
Imya,84,Down,1649264220.7225728
Imya,84,Up,1649264220.7695446
Imya,89,Down,1649264220.8984716
Imya,89,Up,1649264220.9694722
Imya,66,Down,1649264221.122361
Imya,66,Up,1649264221.185947
Imya,90,Down,1649264221.329865
Imya,90,Up,1649264221.4657872
Imya,32,Down,1649264221.6576314
Imya,32,Up,1649264221.7855582
Imya,68,Down,1649264222.338762
Imya,83,Down,1649264222.4017253
Imya,68,Up,1649264222.4896743
Imya,83,Up,1649264222.5296519
Imya,67,Down,1649264222.9699714
Imya,67,Up,1649264223.0419304
Imya,73,Down,1649264223.2098393
Imya,73,Up,1649264223.289794
Imya,84,Down,1649264223.4497013
Imya,84,Up,1649264223.5056698
Imya,85,Down,1649264223.6421108
Imya,85,Up,1649264223.6819456
Imya,74,Down,1649264223.785887
Imya,74,Up,1649264223.8738363
Imya,32,Down,1649264223.9377997
Imya,32,Up,1649264224.0577314
Imya,71,Down,1649264224.9940434
Imya,71,Up,1649264225.0580068
Imya,74,Down,1649264225.345842
Imya,72,Down,1649264225.4018106
Imya,74,Up,1649264225.449783
Imya,72,Up,1649264225.5377333
Imya,90,Down,1649264225.7136328
Imya,90,Up,1649264225.7855916
Imya,76,Down,1649264225.9774992
Imya,76,Up,1649264226.0654492
Imya,82,Down,1649264226.202354
Imya,82,Up,1649264226.257322
Imya,70,Down,1649264226.4182308
Imya,70,Up,1649264226.474198
Imya,191,Down,1649264226.9699147
Imya,191,Up,1649264227.105839
Imya,32,Down,1649264227.5062459
Imya,32,Up,1649264227.642169
Imya,70,Down,1649264228.0019624
Imya,32,Down,1649264228.0819163
Imya,70,Up,1649264228.12989
Imya,32,Up,1649264228.1698875
Imya,78,Down,1649264228.2738523
Imya,78,Up,1649264228.3458333
Imya,70,Down,1649264228.3938074
Imya,70,Up,1649264228.4817793
Imya,82,Down,1649264228.5777235
