keycode,event,time
84,Down,1652563466.1529543
84,Up,1652563466.2467475
72,Down,1652563466.3349025
72,Up,1652563466.4177077
69,Down,1652563466.5425203
69,Up,1652563466.6846983
82,Down,1652563466.8428497
82,Up,1652563466.9790025
69,Down,1652563467.1728573
69,Up,1652563467.2688205
32,Down,1652563467.4147847
32,Up,1652563467.5423648
73,Down,1652563467.8309207
73,Up,1652563467.921989
83,Down,1652563468.257702
83,Up,1652563468.3369646
32,Down,1652563468.5543554
32,Up,1652563468.6676943
73,Down,1652563468.8757052
73,Up,1652563468.9716766
78,Down,1652563469.1197734
32,Down,1652563469.2057495
78,Up,1652563469.2520645
32,Up,1652563469.3185053
84,Down,1652563469.4521375
84,Up,1652563469.5272746
72,Down,1652563469.6266642
72,Up,1652563469.7196233
73,Down,1652563470.1160786
73,Up,1652563470.2121663
83,Down,1652563470.519674
83,Up,1652563470.609491
32,Down,1652563470.8252938
32,Up,1652563470.9270358
67,Down,1652563471.1075037
67,Up,1652563471.1936288
79,Down,1652563471.311623
79,Up,1652563471.4112384
85,Down,1652563471.6669016
85,Up,1652563471.7790065
78,Down,1652563471.9158309
78,Up,1652563472.013006
84,Down,1652563472.2831676
84,Up,1652563472.3742516
82,Down,1652563472.7967117
82,Up,1652563472.8622348
89,Down,1652563473.0418224
32,Down,1652563473.1187203
89,Up,1652563473.1416378
32,Up,1652563473.2514064
65,Down,1652563473.3700607
65,Up,1652563473.4791956
32,Down,1652563473.5260224
32,Up,1652563473.6366794
83,Down,1652563473.9047618
83,Up,1652563473.9817207
73,Down,1652563474.1920536
73,Up,1652563474.2907329
78,Down,1652563474.4178667
78,Up,1652563474.5149152
73,Down,1652563475.112705
73,Up,1652563475.1995192
83,Down,1652563475.598802
83,Up,1652563475.68557
84,Down,1652563475.816565
84,Up,1652563475.9150128
69,Down,1652563476.2388732
69,Up,1652563476.3113446
82,Down,1652563476.479009
32,Down,1652563476.5779178
82,Up,1652563476.5924017
32,Up,1652563476.676827
69,Down,1652563477.0735798
69,Up,1652563477.1526017
76,Down,1652563477.2901702
76,Up,1652563477.3882465
69,Down,1652563477.4399066
69,Up,1652563477.5139492
77,Down,1652563477.6189737
77,Up,1652563477.7130704
69,Down,1652563477.7311625
69,Up,1652563477.8167403
78,Down,1652563477.972838
78,Up,1652563478.0510316
84,Down,1652563478.4307356
84,Up,1652563478.4964764
32,Down,1652563478.7210424
32,Up,1652563478.8296516
84,Down,1652563479.161944
84,Up,1652563479.2349198
72,Down,1652563479.3097847
72,Up,1652563479.4051812
65,Down,1652563479.7400947
65,Up,1652563479.8247766
84,Down,1652563480.0540965
84,Up,1652563480.1418564
32,Down,1652563480.269664
32,Up,1652563480.3718953
68,Down,1652563481.056668
68,Up,1652563481.1437953
