user,keycode,event,time
Sasha,66,Down,1649676328.7023015
Sasha,66,Up,1649676328.8396065
Sasha,76,Down,1649676329.5332646
Sasha,76,Up,1649676329.6542647
Sasha,84,Down,1649676329.855505
Sasha,84,Up,1649676329.9601555
Sasha,81,Down,1649676330.243551
Sasha,81,Up,1649676330.3941534
Sasha,89,Down,1649676330.4173174
Sasha,89,Up,1649676330.5671642
Sasha,83,Down,1649676330.7065647
Sasha,83,Up,1649676330.834399
Sasha,84,Down,1649676330.8606691
Sasha,84,Up,1649676330.949398
Sasha,32,Down,1649676331.701064
Sasha,32,Up,1649676331.8350632
Sasha,67,Down,1649676332.1532545
Sasha,67,Up,1649676332.278134
Sasha,74,Down,1649676332.3742478
Sasha,74,Up,1649676332.4589074
Sasha,74,Down,1649676332.5308719
Sasha,74,Up,1649676332.6122918
Sasha,188,Down,1649676332.8321626
Sasha,188,Up,1649676332.9450033
Sasha,72,Down,1649676333.1422336
Sasha,70,Down,1649676333.271394
Sasha,72,Up,1649676333.2763846
Sasha,186,Down,1649676333.417339
Sasha,70,Up,1649676333.4430497
Sasha,186,Up,1649676333.5482633
Sasha,84,Down,1649676333.5853834
Sasha,84,Up,1649676333.6942387
Sasha,89,Down,1649676333.7910943
Sasha,89,Up,1649676333.903262
Sasha,66,Down,1649676334.0542383
Sasha,66,Up,1649676334.1753974
Sasha,90,Down,1649676334.2224097
Sasha,90,Up,1649676334.3702307
Sasha,32,Down,1649676334.8883727
Sasha,32,Up,1649676335.002262
Sasha,68,Down,1649676335.3114204
Sasha,83,Down,1649676335.3796694
Sasha,68,Up,1649676335.4292462
Sasha,83,Up,1649676335.551853
Sasha,67,Down,1649676335.6698525
Sasha,67,Up,1649676335.8205504
Sasha,73,Down,1649676336.3417127
Sasha,84,Down,1649676336.4403756
Sasha,73,Up,1649676336.4503736
Sasha,84,Up,1649676336.5722575
Sasha,85,Down,1649676336.6030145
Sasha,85,Up,1649676336.6892576
Sasha,74,Down,1649676336.8196878
Sasha,74,Up,1649676336.923661
Sasha,32,Down,1649676337.1038508
Sasha,32,Up,1649676337.2503734
Sasha,71,Down,1649676337.2799342
Sasha,71,Up,1649676337.3890204
Sasha,74,Down,1649676337.4349937
Sasha,72,Down,1649676337.5883496
Sasha,74,Up,1649676337.6212287
Sasha,72,Up,1649676337.7203283
Sasha,90,Down,1649676337.8185017
Sasha,90,Up,1649676337.9885354
Sasha,76,Down,1649676338.0986018
Sasha,76,Up,1649676338.221362
Sasha,82,Down,1649676338.2848313
Sasha,82,Up,1649676338.415257
Sasha,70,Down,1649676338.5277889
Sasha,70,Up,1649676338.6581361
Sasha,161,Down,1649676339.4392607
Sasha,191,Down,1649676339.5352437
Sasha,161,Up,1649676339.5962243
Sasha,191,Up,1649676339.6433227
Sasha,32,Down,1649676339.8251276
Sasha,32,Up,1649676339.9373147
Sasha,70,Down,1649676339.96963
Sasha,70,Up,1649676340.1070273
Sasha,32,Down,1649676340.1153994
Sasha,32,Up,1649676340.2009928
Sasha,78,Down,1649676340.274375
Sasha,78,Up,1649676340.3906083
Sasha,70,Down,1649676340.4396434
Sasha,82,Down,1649676340.5382473
Sasha,70,Up,1649676340.6029804
Sasha,82,Up,1649676340.7171886
Sasha,186,Down,1649676341.3644953
Sasha,186,Up,1649676341.4787068
Sasha,84,Down,1649676341.5389738
Sasha,84,Up,1649676341.65649
Sasha,32,Down,1649676341.675761
Sasha,32,Up,1649676341.8125918
Sasha,89,Down,1649676341.947134
Sasha,89,Up,1649676342.0513134
Sasha,70,Down,1649676342.0684433
Sasha,70,Up,1649676342.1715186
Sasha,88,Down,1649676342.4012265
Sasha,88,Up,1649676342.5593193
Sasha,70,Down,1649676342.5814986
Sasha,70,Up,1649676342.6966953
Sasha,75,Down,1649676342.9183278
Sasha,74,Down,1649676343.0410252
Sasha,75,Up,1649676343.08239
Sasha,74,Up,1649676343.1669557
Sasha,32,Down,1649676343.3253207
Sasha,32,Up,1649676343.4312377
Sasha,71,Down,1649676343.631467
Sasha,71,Up,1649676343.7512264
Sasha,74,Down,1649676343.8011196
Sasha,74,Up,1649676343.936306
Sasha,68,Down,1649676343.9702766
Sasha,68,Up,1649676344.086815
Sasha,67,Down,1649676344.2163599
Sasha,67,Up,1649676344.3153856
Sasha,84,Down,1649676344.5553243
Sasha,84,Up,1649676344.6904166
Sasha,76,Down,1649676345.7792275
Sasha,76,Up,1649676345.885263
Sasha,89,Down,1649676346.452192
Sasha,84,Down,1649676346.5866332
Sasha,89,Up,1649676346.616416
Sasha,84,Up,1649676346.720159
Sasha,68,Down,1649676346.727152
Sasha,68,Up,1649676346.8472137
Sasha,89,Down,1649676346.919476
Sasha,89,Up,1649676347.0269475
Sasha,74,Down,1649676347.2295158
Sasha,74,Up,1649676347.3530207
Sasha,81,Down,1649676347.42239
Sasha,81,Up,1649676347.5352762
Sasha,32,Down,1649676347.6203604
Sasha,32,Up,1649676347.7470598
Sasha,72,Down,1649676348.439752
Sasha,72,Up,1649676348.5358531
Sasha,70,Down,1649676348.564496
Sasha,70,Up,1649676348.6693451
Sasha,188,Down,1649676348.8874907
Sasha,188,Up,1649676348.9794462
Sasha,74,Down,1649676349.2111778
Sasha,74,Up,1649676349.2620854
Sasha,78,Down,1649676349.490924
Sasha,78,Up,1649676349.5874932
Sasha,83,Down,1649676349.6428626
Sasha,32,Down,1649676349.7233603
Sasha,83,Up,1649676349.7813263
Sasha,32,Up,1649676349.8539135
Sasha,71,Down,1649676349.9447637
Sasha,71,Up,1649676350.0557828
Sasha,74,Down,1649676350.069793
Sasha,74,Up,1649676350.1977227
Sasha,32,Down,1649676350.377277
Sasha,32,Up,1649676350.5174088
Sasha,65,Down,1649676350.5372484
Sasha,65,Up,1649676350.6635158
Sasha,74,Down,1649676350.7625737
Sasha,74,Up,1649676350.955393
Sasha,72,Down,1649676350.9583886
Sasha,72,Up,1649676351.0767004
Sasha,86,Down,1649676351.1324122
Sasha,66,Down,1649676351.2154849
Sasha,86,Up,1649676351.2512445
Sasha,66,Up,1649676351.3542075
Sasha,72,Down,1649676351.4755242
Sasha,72,Up,1649676351.609013
Sasha,74,Down,1649676351.658331
Sasha,68,Down,1649676351.8392422
Sasha,74,Up,1649676351.8442237
Sasha,70,Down,1649676351.942432
Sasha,68,Up,1649676352.0147808
Sasha,70,Up,1649676352.0892708
Sasha,89,Down,1649676352.1363728
Sasha,89,Up,1649676352.243301
Sasha,66,Down,1649676352.3383052
Sasha,66,Up,1649676352.4523907
Sasha,190,Down,1649676352.6871674
Sasha,190,Up,1649676352.7720456
Sasha,32,Down,1649676353.6397486
Sasha,32,Up,1649676353.7682588
Sasha,71,Down,1649676354.1548772
Sasha,74,Down,1649676354.257159
Sasha,71,Up,1649676354.2681546
Sasha,74,Up,1649676354.378176
Sasha,80,Down,1649676354.6246645
Sasha,80,Up,1649676354.7392652
Sasha,66,Down,1649676355.003107
Sasha,66,Up,1649676355.1152334
Sasha,87,Down,1649676355.307177
Sasha,87,Up,1649676355.4184296
Sasha,66,Down,1649676355.5119035
Sasha,66,Up,1649676355.604159
Sasha,66,Down,1649676355.672243
Sasha,66,Up,1649676355.756045
Sasha,32,Down,1649676355.9212577
Sasha,32,Up,1649676356.035144
Sasha,78,Down,1649676356.33947
Sasha,78,Up,1649676356.444288
Sasha,72,Down,1649676356.5546107
Sasha,72,Up,1649676356.6598945
Sasha,84,Down,1649676356.7275553
Sasha,84,Up,1649676356.8557723
Sasha,188,Down,1649676357.1929994
Sasha,188,Up,1649676357.3012366
Sasha,69,Down,1649676357.3782446
Sasha,84,Down,1649676357.5492291
Sasha,69,Up,1649676357.5905058
Sasha,84,Up,1649676357.6926405
Sasha,78,Down,1649676357.8383071
Sasha,78,Up,1649676357.9532716
Sasha,32,Down,1649676358.073893
Sasha,32,Up,1649676358.1925163
Sasha,74,Down,1649676359.1814353
Sasha,74,Up,1649676359.3100257
Sasha,71,Down,1649676359.358552
Sasha,71,Up,1649676359.505272
Sasha,72,Down,1649676359.5912023
Sasha,72,Up,1649676359.7232687
Sasha,84,Down,1649676359.7554152
Sasha,84,Up,1649676359.8931663
Sasha,76,Down,1649676359.9021819
Sasha,76,Up,1649676360.0276241
Sasha,84,Down,1649676360.0386224
Sasha,84,Up,1649676360.1612406
Sasha,75,Down,1649676360.19652
Sasha,75,Up,1649676360.3175144
Sasha,84,Down,1649676360.3205454
Sasha,84,Up,1649676360.416337
Sasha,89,Down,1649676360.5133975
Sasha,89,Up,1649676360.604282
Sasha,66,Down,1649676360.7523694
Sasha,66,Up,1649676360.8565443
Sasha,90,Down,1649676360.908227
Sasha,90,Up,1649676361.017698
Sasha,32,Down,1649676361.0674605
Sasha,32,Up,1649676361.156242
Sasha,66,Down,1649676361.2612357
Sasha,66,Up,1649676361.3774745
Sasha,32,Down,1649676361.4956791
Sasha,32,Up,1649676361.613343
Sasha,69,Down,1649676366.1913645
Sasha,69,Up,1649676366.3160253
Sasha,78,Down,1649676366.419494
Sasha,74,Down,1649676366.563248
Sasha,78,Up,1649676366.5692997
Sasha,74,Up,1649676366.7222753
Sasha,88,Down,1649676366.735621
Sasha,88,Up,1649676366.8506985
Sasha,89,Down,1649676367.0700977
Sasha,84,Down,1649676367.175378
Sasha,89,Up,1649676367.2244377
Sasha,84,Up,1649676367.353094
Sasha,89,Down,1649676367.4224977
Sasha,89,Up,1649676367.5333822
Sasha,66,Down,1649676367.7103841
Sasha,66,Up,1649676367.8353386
Sasha,90,Down,1649676367.8933787
Sasha,90,Up,1649676367.9909585
Sasha,32,Down,1649676369.0946949
Sasha,32,Up,1649676369.2012532
Sasha,89,Down,1649676369.57032
Sasha,89,Up,1649676369.6689668
Sasha,74,Down,1649676369.8275032
Sasha,74,Up,1649676369.9622562
Sasha,68,Down,1649676370.0186388
Sasha,68,Up,1649676370.1343184
Sasha,83,Down,1649676370.2598574
Sasha,83,Up,1649676370.3872128
Sasha,219,Down,1649676370.6881754
Sasha,219,Up,1649676370.7753837
Sasha,32,Down,1649676370.9649162
Sasha,32,Up,1649676371.1030753
Sasha,71,Down,1649676371.1512578
Sasha,71,Up,1649676371.2865016
Sasha,72,Down,1649676371.2895997
Sasha,72,Up,1649676371.383105
Sasha,84,Down,1649676373.2881043
Sasha,84,Up,1649676373.4144902
Sasha,76,Down,1649676373.450307
Sasha,76,Up,1649676373.615584
Sasha,74,Down,1649676373.628594
Sasha,74,Up,1649676373.7945514
Sasha,8,Down,1649676375.0850983
Sasha,8,Up,1649676375.206012
Sasha,75,Down,1649676375.7997942
Sasha,75,Up,1649676375.9112444
Sasha,74,Down,1649676375.9245212
Sasha,74,Up,1649676376.0400221
Sasha,186,Down,1649676376.1282094
Sasha,186,Up,1649676376.2568362
Sasha,84,Down,1649676376.3239934
Sasha,84,Up,1649676376.4615004
Sasha,89,Down,1649676376.5744274
Sasha,89,Up,1649676376.685329
Sasha,66,Down,1649676376.8242164
Sasha,66,Up,1649676376.9523497
Sasha,81,Down,1649676377.0033395
Sasha,81,Up,1649676377.093308
Sasha,191,Down,1649676378.3046162
Sasha,191,Up,1649676378.3922873
Sasha,72,Down,1649676385.798922
Sasha,72,Up,1649676385.9655664
Sasha,65,Down,1649676386.1192586
Sasha,65,Up,1649676386.225323
Sasha,84,Down,1649676387.3312051
Sasha,84,Up,1649676387.4590075
Sasha,72,Down,1649676388.386911
Sasha,72,Up,1649676388.504102
Sasha,32,Down,1649676388.700263
Sasha,32,Up,1649676388.823748
Sasha,73,Down,1649676389.0214555
Sasha,73,Up,1649676389.1563973
Sasha,84,Down,1649676389.3783643
Sasha,84,Up,1649676389.4960017
Sasha,83,Down,1649676389.6890454
Sasha,83,Up,1649676389.8574336
Sasha,69,Down,1649676389.9318178
Sasha,69,Up,1649676390.0659473
Sasha,76,Down,1649676390.405097
Sasha,76,Up,1649676390.5303395
Sasha,70,Down,1649676391.08616
Sasha,70,Up,1649676391.186261
Sasha,32,Down,1649676392.444357
Sasha,32,Up,1649676392.5668108
Sasha,68,Down,1649676392.7279878
Sasha,68,Up,1649676392.891399
Sasha,82,Down,1649676392.9645889
Sasha,82,Up,1649676393.0782378
Sasha,89,Down,1649676393.5595374
Sasha,89,Up,1649676393.6538253
Sasha,32,Down,1649676394.316601
Sasha,32,Up,1649676394.410551
Sasha,65,Down,1649676394.4314618
Sasha,65,Up,1649676394.6129525
Sasha,80,Down,1649676394.855357
Sasha,80,Up,1649676394.958661
Sasha,80,Down,1649676395.0411196
Sasha,80,Up,1649676395.1114175
Sasha,69,Down,1649676395.245138
Sasha,69,Up,1649676395.363315
Sasha,65,Down,1649676395.5319486
Sasha,65,Up,1649676395.6511195
Sasha,82,Down,1649676395.722303
