keycode,event,time
57,Down,1651146397.8805299
57,Up,1651146397.880536
255,Up,1651146397.880975
57,Down,1651146397.986377
57,Up,1651146397.9863858
11,Down,1651146398.2591412
11,Up,1651146398.3189828
37,Down,1651146398.953168
37,Up,1651146399.009296
17,Down,1651146399.101027
17,Up,1651146399.189259
12,Down,1651146399.3247309
12,Up,1651146399.4453492
16,Down,1651146399.558491
16,Up,1651146399.627321
1,Down,1651146399.656985
1,Up,1651146399.784992
17,Down,1651146399.79705
17,Up,1651146399.873494
49,Down,1651146400.140578
49,Up,1651146400.2412071
8,Down,1651146400.350034
8,Up,1651146400.398436
38,Down,1651146400.479837
38,Up,1651146400.540183
38,Down,1651146400.6180391
38,Up,1651146400.6821928
43,Down,1651146400.912075
43,Up,1651146400.95232
4,Down,1651146401.144883
4,Up,1651146401.193162
3,Down,1651146401.3560178
3,Up,1651146401.4280782
41,Down,1651146402.901699
41,Up,1651146402.9540741
17,Down,1651146402.9868622
17,Up,1651146403.0589561
16,Down,1651146403.2038531
16,Up,1651146403.264173
11,Down,1651146403.397835
11,Up,1651146403.474178
6,Down,1651146403.7828412
6,Up,1651146403.8910038
49,Down,1651146404.109757
49,Up,1651146404.2420921
2,Down,1651146404.393402
2,Up,1651146404.462186
1,Down,1651146404.76009
1,Up,1651146404.8836858
8,Down,1651146405.082765
8,Up,1651146405.174926
34,Down,1651146405.5418391
34,Up,1651146405.5900328
17,Down,1651146405.648801
17,Up,1651146405.760345
32,Down,1651146405.8089652
32,Up,1651146405.861027
38,Down,1651146405.975755
38,Up,1651146406.056417
49,Down,1651146406.093642
49,Up,1651146406.218147
5,Down,1651146406.539774
5,Up,1651146406.6279511
38,Down,1651146406.65666
38,Up,1651146406.724763
4,Down,1651146406.814703
4,Up,1651146406.8709152
6,Down,1651146406.944706
6,Up,1651146407.06889
37,Down,1651146407.105334
37,Up,1651146407.173989
15,Down,1651146407.219742
3,Down,1651146407.319743
15,Up,1651146407.3675551
3,Up,1651146407.431851
22,Down,1651146409.2225869
22,Up,1651146409.274494
49,Down,1651146409.56126
49,Up,1651146409.677732
3,Down,1651146409.786548
3,Up,1651146409.874753
49,Down,1651146409.9934862
49,Up,1651146410.077684
45,Down,1651146410.615489
45,Up,1651146410.6718762
3,Down,1651146410.740515
15,Down,1651146410.792507
3,Up,1651146410.832442
15,Up,1651146410.908693
41,Down,1651146410.944514
41,Up,1651146410.996773
17,Down,1651146411.0274901
17,Up,1651146411.115755
49,Down,1651146411.17448
49,Up,1651146411.31471
16,Down,1651146411.781416
16,Up,1651146411.841683
3,Down,1651146411.885453
3,Up,1651146411.9967942
7,Down,1651146412.039468
3,Down,1651146412.1276212
3,Up,1651146412.159683
7,Up,1651146412.163906
3,Down,1651146412.1988301
40,Down,1651146412.210903
3,Up,1651146412.234561
40,Up,1651146412.274795
38,Down,1651146412.343415
38,Up,1651146412.415753
49,Down,1651146412.447628
49,Up,1651146412.552723
51,Down,1651146413.01346
51,Up,1651146413.0656471
51,Down,1651146413.315299
51,Up,1651146413.411519
51,Down,1651146413.485313
51,Up,1651146413.565629
51,Down,1651146413.6212769
51,Up,1651146413.7175229
40,Down,1651146414.3583832
40,Up,1651146414.418564
38,Down,1651146414.499259
38,Up,1651146414.575815
49,Down,1651146414.700215
49,Up,1651146414.820559
5,Down,1651146415.055254
5,Up,1651146415.135514
38,Down,1651146415.1980119
38,Up,1651146415.270595
2,Down,1651146415.48797
2,Up,1651146415.62444
8,Down,1651146415.682337
17,Down,1651146415.8382468
8,Up,1651146415.850132
17,Up,1651146415.966466
37,Down,1651146416.383303
37,Up,1651146416.423381
16,Down,1651146416.7781959
16,Up,1651146416.8425002
17,Down,1651146416.858067
17,Up,1651146416.9347048
2,Down,1651146417.105163
2,Up,1651146417.2013812
16,Down,1651146417.238101
16,Up,1651146417.310456
38,Down,1651146417.396208
12,Down,1651146417.484364
38,Up,1651146417.487506
12,Up,1651146417.596342
49,Down,1651146418.027093
49,Up,1651146418.147142
4,Down,1651146418.326185
4,Up,1651146418.386364
3,Down,1651146418.448116
3,Up,1651146418.528358
43,Down,1651146418.6171122
43,Up,1651146418.6734562
38,Down,1651146418.8151228
38,Up,1651146418.871368
45,Down,1651146418.9522119
45,Up,1651146419.044204
1,Down,1651146419.044846
1,Up,1651146419.156159
49,Down,1651146419.506007
49,Up,1651146419.6142159
5,Down,1651146419.7080908
5,Up,1651146419.796606
38,Down,1651146419.860071
38,Up,1651146419.9362519
49,Down,1651146419.972013
49,Up,1651146420.052327
0,Down,1651146420.20096
0,Up,1651146420.313345
38,Down,1651146420.329232
38,Up,1651146420.4054139
4,Down,1651146420.515994
4,Up,1651146420.572302
9,Down,1651146421.180962
9,Up,1651146421.257223
11,Down,1651146421.291981
11,Up,1651146421.360331
4,Down,1651146421.467944
4,Up,1651146421.532275
38,Down,1651146421.619904
2,Down,1651146421.696007
38,Up,1651146421.7117782
3,Down,1651146421.759989
2,Up,1651146421.799816
16,Down,1651146421.835995
3,Up,1651146421.849324
16,Up,1651146421.8842618
11,Down,1651146421.978994
11,Up,1651146422.051252
47,Down,1651146422.656265
47,Up,1651146422.70425
49,Down,1651146422.8350232
49,Up,1651146422.9709609
5,Down,1651146423.344896
5,Up,1651146423.417095
38,Down,1651146423.43789
38,Up,1651146423.5101461
35,Down,1651146423.7902348
35,Up,1651146423.8341582
11,Down,1651146424.019785
11,Up,1651146424.084084
13,Down,1651146424.138837
13,Up,1651146424.2027478
11,Down,1651146424.2147682
11,Up,1651146424.283264
11,Down,1651146424.329094
11,Up,1651146424.406064
49,Down,1651146424.770764
49,Up,1651146424.875194
45,Down,1651146424.976933
45,Up,1651146425.0410528
4,Down,1651146425.164584
4,Up,1651146425.2131321
17,Down,1651146425.2707598
17,Up,1651146425.351038
43,Down,1651146425.7307541
43,Up,1651146425.7830179
14,Down,1651146425.81679
14,Up,1651146425.9289658
47,Down,1651146426.792656
47,Up,1651146426.86112
45,Down,1651146427.135496
45,Up,1651146427.191939
49,Down,1651146427.2555342
49,Up,1651146427.3598561
38,Down,1651146427.462765
38,Up,1651146427.5309162
5,Down,1651146427.630678
5,Up,1651146427.707065
4,Down,1651146427.784718
4,Up,1651146427.848935
17,Down,1651146428.171711
17,Up,1651146428.299915
37,Down,1651146428.533618
37,Up,1651146428.60588
17,Down,1651146428.633682
17,Up,1651146428.701557
40,Down,1651146428.756747
40,Up,1651146428.812594
17,Down,1651146428.820668
17,Up,1651146428.8968809
16,Down,1651146428.973666
16,Up,1651146429.045832
11,Down,1651146429.137501
6,Down,1651146429.205554
11,Up,1651146429.208941
6,Up,1651146429.334004
49,Down,1651146429.536543
49,Up,1651146429.645217
11,Down,1651146429.9293282
11,Up,1651146429.985802
49,Down,1651146430.042451
49,Up,1651146430.150741
14,Down,1651146430.2912982
14,Up,1651146430.3558478
45,Down,1651146430.7396128
45,Up,1651146430.79181
38,Down,1651146430.900471
38,Up,1651146430.972748
7,Down,1651146431.018639
7,Up,1651146431.110805
16,Down,1651146431.166568
16,Up,1651146431.222827
17,Down,1651146431.283474
17,Up,1651146431.3559701
16,Down,1651146431.3926358
16,Up,1651146431.4528031
11,Down,1651146431.591525
11,Up,1651146431.6638021
6,Down,1651146431.7254
6,Up,1651146431.865901
49,Down,1651146432.02943
49,Up,1651146432.141654
16,Down,1651146432.417517
16,Up,1651146432.481119
38,Down,1651146432.5834281
38,Up,1651146432.66691
2,Down,1651146432.710474
2,Up,1651146432.822549
1,Down,1651146432.8306618
1,Up,1651146432.922884
33,Down,1651146433.036727
33,Up,1651146433.096823
49,Down,1651146433.441317
49,Up,1651146433.5815969
5,Down,1651146434.061363
5,Up,1651146434.117585
4,Down,1651146434.167358
4,Up,1651146434.231679
17,Down,1651146434.304299
17,Up,1651146434.3885381
37,Down,1651146434.556362
37,Up,1651146434.617192
40,Down,1651146434.70737
40,Up,1651146434.767787
38,Down,1651146434.8674161
38,Up,1651146434.9195929
37,Down,1651146435.113615
41,Down,1651146435.114183
37,Up,1651146435.1656132
41,Up,1651146435.166542
17,Down,1651146435.2743092
17,Up,1651146435.338573
16,Down,1651146435.401419
16,Up,1651146435.457026
11,Down,1651146435.539567
11,Up,1651146435.607297
12,Down,1651146435.6107452
12,Up,1651146435.715633
51,Down,1651146436.0864398
51,Up,1651146436.1622689
51,Down,1651146436.2572072
51,Up,1651146436.3174038
51,Down,1651146436.3991868
51,Up,1651146436.471431
51,Down,1651146436.564186
51,Up,1651146436.620445
51,Down,1651146436.698164
51,Up,1651146436.76642
51,Down,1651146436.8282812
51,Up,1651146436.904288
41,Down,1651146437.259179
41,Up,1651146437.326991
17,Down,1651146437.414242
17,Up,1651146437.494433
16,Down,1651146437.8101199
16,Up,1651146437.890507
11,Down,1651146438.074152
11,Up,1651146438.146488
12,Down,1651146438.170193
12,Up,1651146438.25443
26,Down,1651146438.999997
26,Up,1651146439.055396
