user,keycode,event,time
Dmitry1337,65506,Down,1649498859.916953
Dmitry1337,66,Down,1649498860.1292186
Dmitry1337,66,Up,1649498860.19729
Dmitry1337,65032,Up,1649498860.2148004
Dmitry1337,108,Down,1649498861.3493352
Dmitry1337,108,Up,1649498861.4600363
Dmitry1337,116,Down,1649498861.9710343
Dmitry1337,116,Up,1649498862.0378225
Dmitry1337,113,Down,1649498863.6893544
Dmitry1337,113,Up,1649498863.7806833
Dmitry1337,121,Down,1649498863.7997978
Dmitry1337,121,Up,1649498863.87303
Dmitry1337,115,Down,1649498863.994717
Dmitry1337,115,Up,1649498864.0990355
Dmitry1337,116,Down,1649498864.780926
Dmitry1337,116,Up,1649498864.8543248
Dmitry1337,32,Down,1649498865.0228686
Dmitry1337,32,Up,1649498865.0898747
Dmitry1337,99,Down,1649498865.284715
Dmitry1337,99,Up,1649498865.3700068
Dmitry1337,106,Down,1649498865.4197586
Dmitry1337,106,Up,1649498865.4878933
Dmitry1337,106,Down,1649498865.5580258
Dmitry1337,106,Up,1649498865.632863
Dmitry1337,44,Down,1649498865.7385416
Dmitry1337,44,Up,1649498865.835934
Dmitry1337,104,Down,1649498865.9993014
Dmitry1337,104,Up,1649498866.0844216
Dmitry1337,102,Down,1649498866.1317146
Dmitry1337,102,Up,1649498866.2113209
Dmitry1337,59,Down,1649498866.8019032
Dmitry1337,59,Up,1649498866.8825562
Dmitry1337,116,Down,1649498867.5010488
Dmitry1337,116,Up,1649498867.5881515
Dmitry1337,121,Down,1649498870.0388732
Dmitry1337,121,Up,1649498870.1000183
Dmitry1337,98,Down,1649498870.1861467
Dmitry1337,98,Up,1649498870.2293282
Dmitry1337,122,Down,1649498870.544471
Dmitry1337,122,Up,1649498870.625109
Dmitry1337,32,Down,1649498870.922481
Dmitry1337,32,Up,1649498870.9897113
Dmitry1337,100,Down,1649498871.1230187
Dmitry1337,115,Down,1649498871.224591
Dmitry1337,100,Up,1649498871.278809
Dmitry1337,115,Up,1649498871.3409798
Dmitry1337,99,Down,1649498871.7506084
Dmitry1337,99,Up,1649498871.8309681
Dmitry1337,105,Down,1649498871.8605173
Dmitry1337,105,Up,1649498871.9531026
Dmitry1337,116,Down,1649498871.979102
Dmitry1337,116,Up,1649498872.0524063
Dmitry1337,117,Down,1649498872.103651
Dmitry1337,117,Up,1649498872.1766849
Dmitry1337,106,Down,1649498872.2772965
Dmitry1337,106,Up,1649498872.3568902
Dmitry1337,32,Down,1649498872.811096
Dmitry1337,32,Up,1649498872.884275
Dmitry1337,103,Down,1649498873.0478368
Dmitry1337,103,Up,1649498873.1404767
Dmitry1337,106,Down,1649498873.1599154
Dmitry1337,106,Up,1649498873.2645094
Dmitry1337,104,Down,1649498873.3701158
Dmitry1337,104,Up,1649498873.4324915
Dmitry1337,122,Down,1649498873.763507
Dmitry1337,122,Up,1649498873.8743317
Dmitry1337,108,Down,1649498873.8937461
Dmitry1337,108,Up,1649498873.9854138
Dmitry1337,114,Down,1649498874.022576
Dmitry1337,116,Down,1649498874.1305735
Dmitry1337,114,Up,1649498874.1755304
Dmitry1337,116,Up,1649498874.186601
Dmitry1337,65288,Down,1649498874.5704448
Dmitry1337,65288,Up,1649498874.6630576
Dmitry1337,102,Down,1649498874.7024302
Dmitry1337,102,Up,1649498874.7953641
Dmitry1337,65506,Down,1649498875.0935671
Dmitry1337,63,Down,1649498875.2131963
Dmitry1337,63,Up,1649498875.299992
Dmitry1337,65032,Up,1649498875.3095524
Dmitry1337,32,Down,1649498875.3466027
Dmitry1337,32,Up,1649498875.4257753
Dmitry1337,102,Down,1649498875.5485888
Dmitry1337,102,Up,1649498875.6272025
Dmitry1337,32,Down,1649498875.659752
Dmitry1337,32,Up,1649498875.7628014
Dmitry1337,110,Down,1649498875.878455
Dmitry1337,102,Down,1649498875.9623766
Dmitry1337,110,Up,1649498875.9755595
Dmitry1337,114,Down,1649498876.0391858
Dmitry1337,102,Up,1649498876.0876398
Dmitry1337,114,Up,1649498876.1317775
Dmitry1337,59,Down,1649498876.851957
Dmitry1337,59,Up,1649498876.9262369
Dmitry1337,116,Down,1649498877.5120137
Dmitry1337,116,Up,1649498877.6046078
Dmitry1337,32,Down,1649498877.889264
Dmitry1337,32,Up,1649498877.9505143
Dmitry1337,121,Down,1649498878.1117396
Dmitry1337,121,Up,1649498878.2409127
Dmitry1337,102,Down,1649498878.2503233
Dmitry1337,102,Up,1649498878.3430698
Dmitry1337,120,Down,1649498878.5394857
Dmitry1337,102,Down,1649498878.6548078
Dmitry1337,120,Up,1649498878.7034998
Dmitry1337,102,Up,1649498878.7451465
Dmitry1337,107,Down,1649498878.8103194
Dmitry1337,107,Up,1649498878.9017568
Dmitry1337,106,Down,1649498879.0046265
Dmitry1337,106,Up,1649498879.0669434
Dmitry1337,32,Down,1649498880.4835021
Dmitry1337,32,Up,1649498880.557937
Dmitry1337,103,Down,1649498881.209166
Dmitry1337,106,Down,1649498881.2882166
Dmitry1337,103,Up,1649498881.3015969
Dmitry1337,106,Up,1649498881.3557286
Dmitry1337,100,Down,1649498882.0271971
Dmitry1337,99,Down,1649498882.1121976
Dmitry1337,100,Up,1649498882.20995
Dmitry1337,99,Up,1649498882.2331169
