user,time,button,state,x,y
Nikita,1649452729.1605754,NoButton,Move,726,907
Nikita,1649452729.1685758,NoButton,Move,727,907
Nikita,1649452729.1790962,NoButton,Move,728,907
Nikita,1649452729.311793,NoButton,Move,728,907
Nikita,1649452729.317735,NoButton,Move,728,906
Nikita,1649452729.3207343,NoButton,Move,728,905
Nikita,1649452729.3227427,NoButton,Move,729,904
Nikita,1649452729.3247437,NoButton,Move,729,903
Nikita,1649452729.3267405,NoButton,Move,729,902
Nikita,1649452729.3288662,NoButton,Move,730,901
Nikita,1649452729.3298726,NoButton,Move,730,900
Nikita,1649452729.3318725,NoButton,Move,730,899
Nikita,1649452729.3328726,NoButton,Move,731,898
Nikita,1649452729.3338735,NoButton,Move,731,897
Nikita,1649452729.3358712,NoButton,Move,731,896
Nikita,1649452729.3368719,NoButton,Move,732,895
Nikita,1649452729.3378744,NoButton,Move,732,894
Nikita,1649452729.3388717,NoButton,Move,732,893
Nikita,1649452729.3398714,NoButton,Move,732,892
Nikita,1649452729.3408723,NoButton,Move,733,891
Nikita,1649452729.3428705,NoButton,Move,733,890
Nikita,1649452729.3443072,NoButton,Move,733,889
Nikita,1649452729.3452945,NoButton,Move,734,888
Nikita,1649452729.3462949,NoButton,Move,734,885
Nikita,1649452729.3482974,NoButton,Move,734,884
Nikita,1649452729.3482974,NoButton,Move,735,883
Nikita,1649452729.3492951,NoButton,Move,735,882
Nikita,1649452729.3502944,NoButton,Move,735,880
Nikita,1649452729.3512943,NoButton,Move,736,879
Nikita,1649452729.3522973,NoButton,Move,736,878
Nikita,1649452729.3532975,NoButton,Move,736,876
Nikita,1649452729.354295,NoButton,Move,736,875
Nikita,1649452729.355294,NoButton,Move,737,874
Nikita,1649452729.356295,NoButton,Move,737,872
Nikita,1649452729.3577871,NoButton,Move,737,871
Nikita,1649452729.3587937,NoButton,Move,737,870
Nikita,1649452729.3597932,NoButton,Move,738,867
Nikita,1649452729.3607936,NoButton,Move,738,866
Nikita,1649452729.3617928,NoButton,Move,738,864
Nikita,1649452729.3627927,NoButton,Move,739,863
Nikita,1649452729.3637955,NoButton,Move,739,862
Nikita,1649452729.3647947,NoButton,Move,739,860
Nikita,1649452729.3657935,NoButton,Move,739,858
Nikita,1649452729.3667932,NoButton,Move,739,857
Nikita,1649452729.367794,NoButton,Move,740,854
Nikita,1649452729.368793,NoButton,Move,740,852
